price,baths,rooms,sqft,address
595000,2,4,140,Hortaleza
829000,3,3,102,Centro
1145000,2,4,224,Centro
1195000,3,6,213,Barrio de Salamanca
695000,2,3,135,Chueca-Justicia
2150000,6,6,575,Conde Orgaz-Piovera
1075000,2,3,169,Nuevos Ministerios-Ríos Rosas
950000,3,3,205,Moncloa
308000,1,2,54,Trafalgar
1550000,3,3,156,Barrio de Salamanca
1900000,4,6,372,Canillas
795000,3,2,201,Moncloa
1175000,3,3,165,Centro
590000,2,2,93,Malasaña-Universidad
730000,1,1,81,Recoletos
880000,3,4,180,Valdebebas - Valdefuentes
850000,2,4,182,Arganzuela
859000,2,2,88,Centro
1200000,2,3,178,Gaztambide
350000,1,2,76,Chopera
1060000,4,5,276,Gaztambide
550000,2,2,69,Lista
1950000,7,8,660,Canillejas
785000,2,2,116,Trafalgar
990000,3,5,194,Vallehermoso
1740000,2,4,172,El Viso
475000,2,4,98,Hortaleza
1450000,4,5,320,Ciudad Lineal
1050000,4,5,337,Hortaleza
579000,2,3,118,Pacífico
560000,1,1,88,Chamartín
1250000,2,2,150,Chueca-Justicia
1150000,4,5,254,San Juan Bautista
3300000,4,6,399,Chamartín
675000,2,3,151,Valdezarza
1950000,4,5,240,Barrio de Salamanca
235000,1,2,64,Lavapiés-Embajadores
840000,2,2,81,Goya
2060000,5,5,334,Hortaleza
950000,2,4,157,Nuevos Ministerios-Ríos Rosas
660000,2,2,121,Malasaña-Universidad
2055000,3,2,245,Lista
1540000,3,4,345,Moncloa
750000,2,2,105,Almagro
1300000,2,4,236,Gaztambide
449900,2,3,105,Quintana
259900,1,2,61,Ventas
1074000,2,5,179,Lista
199000,1,2,66,Puerta del Ángel
625000,2,5,117,Ibiza
860000,3,4,191,Cuatro Caminos
950000,2,3,125,Trafalgar
290000,2,2,62,Lavapiés-Embajadores
1650000,5,5,360,Conde Orgaz-Piovera
2650000,2,7,272,Barrio de Salamanca
1050000,6,6,420,Hortaleza
349000,1,2,82,Arapiles
1300000,3,5,305,Fuentelarreina
299000,1,2,76,Costillares
2500000,6,6,307,Chamberí
850000,3,5,184,Ciudad Lineal
609000,2,2,89,Guindalera
785000,2,3,120,El Viso
1950000,3,4,175,Lista
1320000,2,3,140,Barrio de Salamanca
1495000,6,6,482,Hortaleza
3950000,5,4,291,Barrio de Salamanca
1680000,3,3,214,Castellana
465000,2,2,104,Valdeacederas
1600000,4,4,249,Tetuán
1150000,3,3,133,Malasaña-Universidad
1200000,4,5,375,Ciudad Lineal
210000,3,3,153,Puente de Vallecas
795000,2,3,146,Palomas
870000,3,3,314,Hortaleza
500000,2,2,99,Centro
1475000,4,5,376,Cuzco-Castillejos
865000,2,2,127,Trafalgar
7900000,5,4,473,Barrio de Salamanca
990000,4,6,293,Ciudad Lineal
1080000,2,4,270,Tetuán
